fips_code,county,state,area,area_formatted,county_page_url
06011,Colusa County,California,"Colusa County, California",colusa-county-california,site/county-pages/colusa-county-california-06011.html
06013,Contra Costa County,California,"Contra Costa County, California",contra-costa-county-california,site/county-pages/contra-costa-county-california-06013.html
06015,Del Norte County,California,"Del Norte County, California",del-norte-county-california,site/county-pages/del-norte-county-california-06015.html
06017,El Dorado County,California,"El Dorado County, California",el-dorado-county-california,site/county-pages/el-dorado-county-california-06017.html
06019,Fresno County,California,"Fresno County, California",fresno-county-california,site/county-pages/fresno-county-california-06019.html
06021,Glenn County,California,"Glenn County, California",glenn-county-california,site/county-pages/glenn-county-california-06021.html
06023,Humboldt County,California,"Humboldt County, California",humboldt-county-california,site/county-pages/humboldt-county-california-06023.html
06025,Imperial County,California,"Imperial County, California",imperial-county-california,site/county-pages/imperial-county-california-06025.html
06027,Inyo County,California,"Inyo County, California",inyo-county-california,site/county-pages/inyo-county-california-06027.html
06029,Kern County,California,"Kern County, California",kern-county-california,site/county-pages/kern-county-california-06029.html
06031,Kings County,California,"Kings County, California",kings-county-california,site/county-pages/kings-county-california-06031.html
06033,Lake County,California,"Lake County, California",lake-county-california,site/county-pages/lake-county-california-06033.html
06035,Lassen County,California,"Lassen County, California",lassen-county-california,site/county-pages/lassen-county-california-06035.html
06037,Los Angeles County,California,"Los Angeles County, California",los-angeles-county-california,site/county-pages/los-angeles-county-california-06037.html
06039,Madera County,California,"Madera County, California",madera-county-california,site/county-pages/madera-county-california-06039.html
06041,Marin County,California,"Marin County, California",marin-county-california,site/county-pages/marin-county-california-06041.html
06043,Mariposa County,California,"Mariposa County, California",mariposa-county-california,site/county-pages/mariposa-county-california-06043.html
06045,Mendocino County,California,"Mendocino County, California",mendocino-county-california,site/county-pages/mendocino-county-california-06045.html
06047,Merced County,California,"Merced County, California",merced-county-california,site/county-pages/merced-county-california-06047.html
06049,Modoc County,California,"Modoc County, California",modoc-county-california,site/county-pages/modoc-county-california-06049.html
06051,Mono County,California,"Mono County, California",mono-county-california,site/county-pages/mono-county-california-06051.html
06053,Monterey County,California,"Monterey County, California",monterey-county-california,site/county-pages/monterey-county-california-06053.html
06055,Napa County,California,"Napa County, California",napa-county-california,site/county-pages/napa-county-california-06055.html
06057,Nevada County,California,"Nevada County, California",nevada-county-california,site/county-pages/nevada-county-california-06057.html
06059,Orange County,California,"Orange County, California",orange-county-california,site/county-pages/orange-county-california-06059.html
06061,Placer County,California,"Placer County, California",placer-county-california,site/county-pages/placer-county-california-06061.html
06063,Plumas County,California,"Plumas County, California",plumas-county-california,site/county-pages/plumas-county-california-06063.html
06065,Riverside County,California,"Riverside County, California",riverside-county-california,site/county-pages/riverside-county-california-06065.html
06067,Sacramento County,California,"Sacramento County, California",sacramento-county-california,site/county-pages/sacramento-county-california-06067.html
06069,San Benito County,California,"San Benito County, California",san-benito-county-california,site/county-pages/san-benito-county-california-06069.html
06071,San Bernardino County,California,"San Bernardino County, California",san-bernardino-county-california,site/county-pages/san-bernardino-county-california-06071.html
06073,San Diego County,California,"San Diego County, California",san-diego-county-california,site/county-pages/san-diego-county-california-06073.html
06075,San Francisco County,California,"San Francisco County, California",san-francisco-county-california,site/county-pages/san-francisco-county-california-06075.html
06077,San Joaquin County,California,"San Joaquin County, California",san-joaquin-county-california,site/county-pages/san-joaquin-county-california-06077.html
06079,San Luis Obispo County,California,"San Luis Obispo County, California",san-luis-obispo-county-california,site/county-pages/san-luis-obispo-county-california-06079.html
06081,San Mateo County,California,"San Mateo County, California",san-mateo-county-california,site/county-pages/san-mateo-county-california-06081.html
06083,Santa Barbara County,California,"Santa Barbara County, California",santa-barbara-county-california,site/county-pages/santa-barbara-county-california-06083.html
06085,Santa Clara County,California,"Santa Clara County, California",santa-clara-county-california,site/county-pages/santa-clara-county-california-06085.html
06087,Santa Cruz County,California,"Santa Cruz County, California",santa-cruz-county-california,site/county-pages/santa-cruz-county-california-06087.html
06089,Shasta County,California,"Shasta County, California",shasta-county-california,site/county-pages/shasta-county-california-06089.html
06091,Sierra County,California,"Sierra County, California",sierra-county-california,site/county-pages/sierra-county-california-06091.html
06093,Siskiyou County,California,"Siskiyou County, California",siskiyou-county-california,site/county-pages/siskiyou-county-california-06093.html
06095,Solano County,California,"Solano County, California",solano-county-california,site/county-pages/solano-county-california-06095.html
06097,Sonoma County,California,"Sonoma County, California",sonoma-county-california,site/county-pages/sonoma-county-california-06097.html
06099,Stanislaus County,California,"Stanislaus County, California",stanislaus-county-california,site/county-pages/stanislaus-county-california-06099.html
06101,Sutter County,California,"Sutter County, California",sutter-county-california,site/county-pages/sutter-county-california-06101.html
06103,Tehama County,California,"Tehama County, California",tehama-county-california,site/county-pages/tehama-county-california-06103.html
06105,Trinity County,California,"Trinity County, California",trinity-county-california,site/county-pages/trinity-county-california-06105.html
06107,Tulare County,California,"Tulare County, California",tulare-county-california,site/county-pages/tulare-county-california-06107.html
